법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
효제동,포레스트힐시티,6,Feb-65,20.3861,"22,500",2017,37.5742239,127.0018283,서울효제초등학교,160,종로5가역 1호선,361,롯데슈퍼프레시 대학로점,780,알 수 없음,1.11101E+13,1,14
효제동,이지마루종로,15,126-2,19.31,"29,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,14,126-2,25.55,"35,500",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,8,126-2,20.87,"33,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,11,126-2,20.87,"33,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,4,126-2,26.65,"35,000",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,포레스트힐시티,9,Feb-65,18.505,"28,500",2017,37.5742239,127.0018283,서울효제초등학교,160,종로5가역 1호선,361,롯데슈퍼프레시 대학로점,780,알 수 없음,1.11101E+13,1,14
효제동,이지마루종로,7,126-2,26.33,"34,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,6,126-2,24.44,"34,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,12,126-2,26.65,"46,500",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
효제동,이지마루종로,13,126-2,24.44,"34,800",2021,37.5737077,127.0038592,서울효제초등학교,92,종로5가역 1호선,365,노브랜드 동대문두타몰점,684,알 수 없음,1.11101E+13,2,15
홍파동,경희궁자이(2단지),15,199,84.944,"146,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),13,199,116.986,"194,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),2,199,59.895,"112,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),9,199,84.614,"150,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),10,199,59.855,"129,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),17,199,84.836,"150,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),1,199,84.836,"150,000",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),13,199,84.836,"152,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
홍파동,경희궁자이(2단지),5,199,84.934,"150,500",2017,37.5708395,126.963559,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,1.11101E+13,14,21
