법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
사직동,광화문스페이스본(101동~105동),1,9,147.31,"119,000",2008,2019,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
평창동,벽산블루밍평창힐스,3,45,150.94,"99,000",2004,2019,37.6081443,126.9737587,서울예술고등학교,516,,,GS더프레시 종로평창점,454,벽산엔지니어링,11110100248227,3,5
창신동,동대문,3,328-17,28.8,"29,000",1966,2019,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,11110100000031,1,6
평창동,롯데낙천대,5,72,84.21,"57,500",2001,2019,37.6091348,126.9756964,서울예술고등학교,720,,,GS더프레시 종로평창점,654,알 수 없음,11110100000075,3,14
평창동,삼성,11,596,59.97,"35,500",1998,2019,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
숭인동,익성씨티하임,10,1392,14.48,"11,000",2013,2019,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,11110120182598,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,2019,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,11110120182598,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,2019,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,11110120182598,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,2019,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,11110120182598,1,15
숭인동,익성씨티하임,10,1392,15.76,"11,300",2013,2019,37.5737233,127.0227299,서울장로회신학,114,신설동역 2호선,227,이마트 청계천점,276,알 수 없음,11110120182598,1,15
명륜2가,아남1,2,4,84.9,"74,800",1995,2019,37.5855466,126.9994103,동성중학교,279,혜화역 4호선,448,홈플러스익스프레스 명륜2점,95,알 수 없음,11110100000026,3,20
평창동,밀레니엄,4,179-5,84.41,"59,900",2017,2019,37.6070020,126.9676054,서울예술고등학교,197,,,GS더프레시 종로평창점,118,알 수 없음,11110120141908,1,5
익선동,현대뜨레비앙,7,55,43.98,"29,300",2003,2019,37.5751303,126.9900570,서울교동초등학교,168,종로3가역 5호선,283,,,현대건설,11110100051191,1,9
창신동,동대문,5,328-17,28.8,"29,200",1966,2019,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,11110100000031,1,6
창신동,창신쌍용2,4,703,79.87,"53,500",1993,2019,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,11110100050202,7,13
평동,경희궁자이(3단지),6,233,59.855,"121,500",2017,2019,37.5686050,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,11110120348219,8,20
연건동,이화에수풀,10,195-10,16.98,"19,300",2014,2019,37.5754421,127.0018467,홍익대학교 대학로캠퍼스,113,종로5가역 1호선,496,롯데슈퍼프레시 대학로점,650,알 수 없음,11110120284458,1,13
창신동,성용,2,640-252,58.23,"26,800",1994,2019,37.5751211,127.0095280,서울창신초등학교,432,동대문역 1호선,395,홈플러스익스프레스 숭인점,574,알 수 없음,11110100000038,1,6
창신동,MID그린(3동),2,601-2,58.91,"25,400",2002,2019,37.5779576,127.0100244,서일문화예술고등학교,291,창신역 6호선,492,롯데슈퍼프레시 대학로점,616,알 수 없음,11110100050435,1,8
명륜1가,아미레스아파트,4,45-5,84.59,"59,500",2002,2019,37.5869670,126.9988974,서울혜화초등학교,255,혜화역 4호선,609,홈플러스익스프레스 명륜점,84,알 수 없음,11110100000025,1,7
숭인동,삼전솔하임4차,12,318-2,15.09,"13,400",2014,2019,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,11110120290673,1,17
