법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
교북동,경희궁자이(4단지),6,126,33.982,"80,000",2017,2021,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),7,126,33.982,"85,000",2017,2021,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),14,126,37.2635,"88,000",2017,2021,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),9,126,37.2635,"89,400",2017,2021,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),7,126,37.2635,"91,000",2017,2022,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),14,126,37.2635,"92,000",2017,2022,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),16,126,45.879,"102,000",2017,2023,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),16,126,45.879,"102,000",2017,2023,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),14,126,45.879,"108,000",2017,2022,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),8,126,45.879,"114,000",2017,2022,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
교북동,경희궁자이(4단지),16,126,45.879,"115,000",2017,2022,37.5715566,126.9614259,대신고등학교,219,독립문역 3호선,447,농협하나로유통 풍기인삼하나로마트 서대문점,151,GS건설,1.11E+13,3,19
내수동,경희궁파크팰리스,5,95,147.62,"175,000",2003,2021,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11E+13,3,16
내수동,경희궁파크팰리스,4,95,146.33,"180,000",2003,2023,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11E+13,3,16
내수동,경희궁파크팰리스,7,95,147.62,"181,000",2003,2022,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11E+13,3,16
내수동,경희궁파크팰리스,13,95,146.39,"185,000",2003,2023,37.574191,126.9705893,서울매동초등학교,497,경복궁역 3호선,327,서서울농협하나로마트 사직점,77,삼성건설,1.11E+13,3,16
